session_id,search_id,search_time,session_starting_time,booking_id
118,9,2018-10-11 13:28:25.243000,0,0.0
118,173,2018-10-11 15:09:07.343000,0,0.0
118,90,2018-10-11 15:14:08.742000,0,0.0
118,29,2018-10-11 13:24:50.501000,0,0.0
118,1283,2018-10-11 13:33:50.513000,0,0.0
118,160,2018-10-11 13:08:53.298000,0,0.0
118,162,2018-10-11 12:52:52.497000,0,0.0
118,165,2018-10-11 13:34:47.407000,0,0.0
118,1266,2018-10-11 13:54:01.321000,0,0.0
118,1307,2018-10-11 15:20:46.539000,0,0.0
118,114,2018-10-11 13:10:02.717000,0,0.0
118,1309,2018-10-11 13:04:42.542000,0,0.0
118,76,2018-10-11 13:21:20.668000,0,0.0
118,1319,2018-10-11 15:10:43.493000,0,0.0
118,1263,2018-10-11 13:03:20.478000,0,0.0
118,177,2018-10-11 13:12:28.749000,0,0.0
118,1311,2018-10-11 13:17:09.569000,0,0.0
118,115,2018-10-11 12:53:25.768000,0,0.0
118,1331,2018-10-11 13:03:10.518000,0,0.0
118,144,2018-10-11 12:58:06.464000,0,0.0
118,1284,2018-10-11 13:44:07.576000,0,0.0
118,117,2018-10-11 13:09:46.814000,0,0.0
118,148,2018-10-11 13:25:38.285000,0,0.0
118,3,2018-10-11 15:27:02.646000,0,0.0
118,87,2018-10-11 13:03:54.990000,0,0.0
118,6,2018-10-11 14:09:37.163000,0,0.0
118,99,2018-10-11 14:59:52.176000,0,0.0
118,30,2018-10-11 14:05:20.610000,0,131.0
58,644,2020-02-14 14:40:55.069000,2020-02-14 14:40:25,0.0
315,187,2020-02-14 12:14:45.487000,2020-02-14 12:13:48,0.0
118,13,2018-10-11 13:01:13.323000,0,0.0
118,74,2018-10-11 12:38:27.210000,0,0.0
118,103,2018-10-11 12:38:42.146000,0,0.0
118,1290,2018-10-11 13:35:17.698000,0,0.0
118,1357,2018-10-11 13:35:04.558000,0,0.0
118,22,2018-10-11 14:02:20.371000,0,0.0
118,1347,2018-10-11 14:04:41.645000,0,0.0
118,132,2018-10-11 12:51:12.664000,0,0.0
118,95,2018-10-11 13:51:51.434000,0,0.0
118,85,2018-10-11 13:50:24.981000,0,0.0
118,135,2018-10-11 15:13:21.212000,0,0.0
118,2,2018-10-11 12:50:56.458000,0,0.0
118,23,2018-10-11 14:49:50.427000,0,0.0
118,110,2018-10-11 13:55:23.762000,0,0.0
37,705,2020-02-14 17:00:05.939000,0,112.0
58,738,2020-02-14 14:41:57.711000,2020-02-14 14:40:25,33.0
226,409,0,2022-07-01 08:22:54,260.0
315,187,2020-02-14 12:14:45.487000,2020-02-14 12:13:48,0.0
315,187,2020-02-14 12:14:45.487000,2020-02-14 12:13:48,238.0
138,903,0,2021-10-11 04:48:10,56.0
37,418,2020-02-14 16:56:09.783000,0,0.0
58,837,2020-02-14 14:41:30.881000,2020-02-14 14:40:25,0.0
320,836,2020-01-07 19:26:43.222000,0,0.0
320,547,2020-01-07 19:18:28.947000,0,245.0
320,534,2020-01-07 19:27:58.396000,0,0.0
85,1024,2020-02-19 21:15:30.739000,0,0.0
85,1054,2020-02-19 22:03:12.624000,0,0.0
85,1104,2020-02-19 21:25:44.390000,0,0.0
85,1143,2020-02-19 21:17:15.030000,0,0.0
85,1080,2020-02-19 21:36:11.824000,0,0.0
85,1029,2020-02-19 22:02:46.878000,0,0.0
85,1150,2020-02-19 21:42:31.148000,0,0.0
85,1236,2020-02-19 21:18:29.987000,0,0.0
85,1210,2020-02-19 22:03:56.007000,0,128.0
85,1173,2020-02-19 22:03:39.531000,0,0.0
85,1040,2020-02-19 21:26:02.520000,0,0.0
85,1103,2020-02-19 21:23:35.942000,0,0.0
85,1136,2020-02-19 21:26:40.785000,0,0.0
85,1086,2020-02-19 21:21:42.780000,0,0.0
85,1184,2020-02-19 21:10:20.694000,0,0.0
219,686,0,2021-10-14 09:01:21,0.0
219,443,0,2021-10-14 09:01:21,0.0
219,649,0,2021-10-14 09:01:21,0.0
219,649,0,2021-10-14 09:01:21,49.0
219,892,0,2021-10-14 09:01:21,0.0
219,206,0,2021-10-14 09:01:21,0.0
244,423,0,2020-06-08 18:53:51,17.0
65,234,0,2021-10-16 07:50:51,0.0
65,234,0,2021-10-16 07:50:51,212.0
195,611,0,2020-10-02 10:12:32,178.0
195,434,0,2020-10-02 10:12:32,0.0
327,1052,0,0,221.0
327,1052,0,0,221.0
122,893,0,2021-12-31 09:03:43,0.0
122,307,0,2021-12-31 09:03:43,63.0
122,307,0,2021-12-31 09:03:43,63.0
122,307,0,2021-12-31 09:03:43,0.0
122,224,0,2021-12-31 09:03:43,0.0
122,518,0,2021-12-31 09:03:43,0.0
122,780,0,2021-12-31 09:03:43,0.0
68,1324,2019-01-03 17:30:24.570000,0,36.0
68,1305,2019-01-03 17:29:04.755000,0,0.0
68,1324,2019-01-03 17:30:24.570000,0,0.0
68,1324,2019-01-03 17:30:24.570000,0,36.0
68,1322,2019-01-03 17:28:41.001000,0,0.0
84,779,0,2021-11-27 16:24:06,140.0
115,1163,0,2021-11-28 12:46:42,263.0
209,919,0,2020-11-13 18:34:41,138.0
319,266,0,2020-11-12 14:35:13,0.0
319,680,0,2020-11-12 14:35:13,66.0
319,431,0,2020-11-12 14:35:13,0.0
319,680,0,2020-11-12 14:35:13,0.0
319,323,0,2020-11-12 14:35:13,0.0
319,581,0,2020-11-12 14:35:13,0.0
147,759,0,0,0.0
147,543,0,0,0.0
147,706,0,0,0.0
147,306,0,0,0.0
147,293,0,0,0.0
147,425,0,0,0.0
147,197,0,0,0.0
147,876,0,0,0.0
188,360,0,0,170.0
253,739,0,2022-05-25 11:36:18,0.0
253,322,0,2022-05-25 11:36:18,0.0
253,812,0,2022-05-25 11:36:18,0.0
253,395,0,2022-05-25 11:36:18,0.0
253,262,0,2022-05-25 11:36:18,0.0
253,821,0,2022-05-25 11:36:18,25.0
253,474,0,2022-05-25 11:36:18,0.0
253,268,0,2022-05-25 11:36:18,0.0
253,618,0,2022-05-25 11:36:18,0.0
253,223,0,2022-05-25 11:36:18,0.0
82,540,0,2022-04-18 14:58:17,175.0
168,1205,0,2022-04-18 17:22:17,0.0
82,540,0,2022-04-18 14:58:17,0.0
168,1205,0,2022-04-18 17:22:17,57.0
82,671,0,2022-04-18 14:58:17,0.0
147,484,2019-12-29 12:19:40.467000,0,0.0
147,415,2019-12-29 12:25:24.351000,0,0.0
147,912,2019-12-29 12:41:57.873000,0,213.0
82,540,0,2022-04-18 14:58:17,0.0
31,1002,2019-12-26 00:50:12.307000,0,0.0
31,1014,2019-12-25 23:17:01.059000,0,0.0
31,1036,2019-12-25 23:47:38.488000,0,0.0
31,1073,2019-12-25 23:41:29.987000,0,0.0
31,969,2019-12-25 23:12:07.344000,0,0.0
31,955,2019-12-25 23:12:24.229000,0,0.0
31,1132,2019-12-25 23:47:15.959000,0,0.0
31,1177,2019-12-26 00:14:39.632000,0,0.0
31,1145,2019-12-25 23:38:52.999000,0,0.0
31,1106,2019-12-25 23:25:55.989000,0,0.0
31,1132,2019-12-25 23:47:15.959000,0,0.0
31,989,2019-12-25 23:17:41.867000,0,0.0
31,1057,2019-12-25 23:00:37.373000,0,0.0
31,1099,2019-12-26 00:19:58.177000,0,0.0
31,999,2019-12-25 23:34:56.570000,0,0.0
31,1039,2019-12-25 23:54:21.762000,0,0.0
31,969,2019-12-25 23:12:07.344000,0,0.0
31,1142,2019-12-26 00:50:33.390000,0,0.0
31,1203,2019-12-25 23:27:07.172000,0,0.0
31,1055,2019-12-25 23:40:22.420000,0,0.0
31,1178,2019-12-26 00:23:11.305000,0,0.0
31,1157,2019-12-26 00:19:40.583000,0,0.0
31,1115,2019-12-25 23:26:12.587000,0,0.0
31,1225,2019-12-26 00:21:04.686000,0,0.0
31,1127,2019-12-26 00:35:07.679000,0,0.0
31,1241,2019-12-25 23:31:54.080000,0,0.0
31,958,2019-12-26 00:52:16.436000,0,91.0
237,28,2018-12-25 13:54:09.646000,0,0.0
237,1259,2018-12-25 14:21:52.693000,0,0.0
